Name,Address,Postcode,Website,Img,Volunteering,Arable,Livestock,Poultry,Dairy,Fruit,Grain,Vegetables,Farm Shop,Farmers Market,Nursery,Pick Your Own,Rewilding,Regenerative,Organic,Co-op,Red Tractor,Education,Notes,Replacement INSPIRE ID
A M Behagg Farms,"Hall Green, Low Rd, Fenstanton, Huntingdon ",PE28 9JD,,,,Y,,,,,,,,,,,,,,,,,,
Alpha Farms,"Fenstanton Rd, Huntingdon ",PE28 9JA,http://www.alphafarms.co.uk/,,,,,Y,,,,,,,,,,,,,,,"All our hens and ducks at Alpha Farms, Hilton are Free Range. We deliver directly to you  from Nest Box to your Home for the FRESHEST LOCALLY LAID FREE RANGE EGGS. ""TASTES BETTER NATURALLY""",
Avalon Eco Farm,"Meadow Rd, Willingham, Cambridge ",CB24 5JL,,,,Y,,,,,,,,,,,,,,,,,,
Bedlam Farms Organic,"Whitegates Farm, Upwell Rd, March ",PE15 0DP,https://www.bedlamfarms.co.uk/,https://www.bedlamfarms.co.uk/wp-content/uploads/2019/06/Farm2.jpg,,,,,,Y,,Y,,,,,,,Y,,,,"We are growers of specialist organic vegetables which are not widely available in the UK. Bedlam Farms Organic has a wide customer base and is proud to supply retailers, organic box schemes, wholesale markets and the hospitality sector with its high quality organic produce. Keep up to date with what’s going on by following us on instagram!",
BigBarn CIC,"Hamerton Rd, Alconbury Weston, Huntingdon ",PE28 4JD,https://www.bigbarn.co.uk/,,,,,,,,,,,Y,,,,,,,,,"Your best local hero food producers! Over 8,800 outlets on the BigBarn map. Track down the very best, freshest and locally produced food and drink in your area. Simply type in your postcode and discover a constantly updating new world of fine food and drink.",
Bury Lane Farm Shop,"A10, Melbourn, Meldreth, Royston ",SG8 6DF,https://burylane.co.uk/,https://burylane.co.uk/wp-content/uploads/2023/02/Bury-Lane-Home-Page-Vegatables-1536x1536.webp,,,,,,,,,Y,,,,,,,,,,"Starting life as a small hut on an orchard 40 years ago, Bury Lane has now grown into a unique destination with a farm shop, butchers, fishmongers, delicatessen, cafe, garden shop and children’s indoor Fun Barn and outdoor Beach play areas",
Bushel Box Farm Shop,"130 Station Rd, Willingham, Cambridge ",CB24 5HG,http://bushelboxfarmshop.co.uk/,https://bushelboxfarmshop.co.uk/wp-content/uploads/2023/05/IMG_8441-plum-trees-in-leaf-top-end-view-scaled.jpg,,,,,,,,,Y,,,,,,,,,,"We are located on a traditional working fruit farm where our family have been growing fruit and vegetables for almost one hundred years. Our crops are Plums, Apples and Pears as well as outdoor Asparagus. We have Apricots if the weather is kind. The shop is open all year round offering our own fresh produce alongside local Vegetables, Eggs, Bread, Honey, Preserves and Apple juice. We have a fridge full of specialist British Cheeses and Charcuterie and some luxury East Anglian Ice Creams and Confectionery.",
Bye's Farm,"2 Heath Rd, Swaffham Prior, Cambridge ",CB25 0LA,,,,Y,,,,,,,,,,,,,,,,,,
Cambridge Asparagus,"46 North Rd, Cambridge ",CB21 6AS,http://www.cambridgeasparagus.com/,,,,,,,,,Y,,,,,,,,,,,"A family run business offering mouth watering asparagus direct to the public, selected grocers and quality restaurants.",
Cambridge Farmers Market,"Market Square, Cambridge Cambridgeshire",CB2 3QJ,https://www.cambridge.gov.uk/markets,https://www.cambridge.gov.uk/media/3478/banner-montage-940-markets.jpg,,,,,,,,,,Y,,,,,,,,,"Traders have been running stalls at the historic market square in the city centre since the Middle Ages. It is open for trading from 10am to 4pm every day except Christmas Day, Boxing Day and New Year’s Day. You can buy fresh food and ingredients from a wide range of cuisines, as well as art, plants, clothes, jewellery, books, music and much more. Some traders are able to offer services such as bike and watch repair.",
Cambridge Organic Food Co Ltd,"Penn Farm Studios, Harston Rd, Haslingfield, Cambridge ",CB23 1JZ,https://cambridgeorganic.co.uk/,https://cambridgeorganic.co.uk/sites/all/themes/omega_cofco/images/logo.svg,,,,,,Y,,Y,,,,,,,Y,,,,We deliver organic veg boxes to the Cambridge area with produce sourced from local farms. You can select what you get in your box each week – or rely on us to put together a great selection.,
Clover Free Range,"12-14 Chestnut Ln, Bassingbourn, Royston ",SG8 5JH,https://www.cloverfreerangeeggs.co.uk/,https://www.cloverfreerangeeggs.co.uk/application/files/8416/4580/0899/Free-range-chickens.jpg,,,,Y,,,,,,,,,,,,,,,"Clover Free Range Eggs are produced at Wood Field farm near Royston on the Cambridgeshire, Hertfordshire boder. We are an independent family business with over 30 years in the egg industry. We are passionate about producing class A nutrient free range eggs unsing sustainable and ethical practices. Our focuses are on a low density and environmentally sound and welfare orientated farming.",
Conington Farms,"Grange Farm/Elsworth Rd, Cambridge ",CB23 4LW,,,,Y,,,,,,,,,,,,,,,,,,
Croxton Park Partnership,"Home Farm Cottage, Cambridge Rd, Croxton, Saint Neots ",PE19 6ST,http://croxton-park.com/,https://images.squarespace-cdn.com/content/v1/561f9b3fe4b0ad1f99583dd3/1453830710146-77XLLRUZYU6RSYAE9Q75/Cowsgroup3_1500.JPG,,,Y,,,,,,,,,,,,Y,,,,"Croxton Park is a tradiitional, privately owned estate near Cambridge with a mixed organic farm, woodland and residential property lets. Our aim is to manage the land in a way that respects the soil, the animals and the people who live & work here. ",
Cuckoo Bridge,"St Ives Road, Somersham, Huntingdon, Cambridgeshire",PE28 3ET,https://cuckoo-bridge.com/,https://cuckoo-bridge.com/wp-content/uploads/sites/3/2021/07/logo-transparent-grey-boarder.png,,,,,,,,,,,Y,,,,,,,,We are open as a wholesale nursery that is open to both trade and the public. Cuckoo provide quality plants & garden products. We stock an extensive range of Garden Plants and flowers.,
Darwin Nurseries And Farm Shop,"5 Quy Waters, Newmarket Road",CB1 9AT,https://www.facebook.com/DarwinNurseriesandFarmShop/,,,,,,,,,,Y,,Y,,,,,,,,"Darwin Nurseries is more than just a farm shop, it’s a place you can slow down and spend some time",
Down2Earth,"White House Farm, Benwick Rd, Ramsey, Huntingdon ",PE26 2XU,https://www.facebook.com/Down2EarthRamsey/,,,,,,,Y,,Y,,,,,,,,,,,Farm shop of home grown foods. pick you own fruit and pick your own dinner!,
Ely Farmers' Market,"Market Square, Ely Cambridgeshire",CB7 4LS,https://elymarkets.co.uk/,https://elymarkets.co.uk/wp-content/uploads/2021/08/Ely-Market-Website-Banner-copy1230-1024x390.jpg,,,,,,,,,,Y,,,,,,,,,"The market has been at the heart of Ely community life for over 800 years. We have three main markets a week on Thursday, Saturday and Sunday – plus a Farmers’ Market twice a month and Mini-Markets every Friday. Everyone is welcome and thousands of people visit our stalls every week.
The market has been at the heart of Ely community life for over 800 years. We have three main markets a week on Thursday, Saturday and Sunday – plus a Farmers’ Market twice a month and Mini-Markets every Friday. Everyone is welcome and thousands of people visit our stalls every week.",
Farmer F,"21 Sand Rd, Great Gransden, Sandy ",SG19 3AQ,,,,Y,,,,,,,,,,,,,,,,,,
Flourish Farm Shop,"Cooks Pen Farm, Hildersham",CB21 6BS,https://www.flourishproduce.co.uk/,https://images.squarespace-cdn.com/content/v1/5c7711827fdcb80799386fca/1551356985979-IUP6URCGTR71C536Q97Q/_MG_9677.jpg,,Y,,,,,Y,Y,Y,Y,,,,,,,,,"Flourish Produce is nestled on fields just up from the River Granta in South Cambridgeshire between the villages of Hildersham and Linton. Founded in the summer of 2017 by Calixta and her two working horses Bill and Ben, the three of them ploughed the first furrow and planted the first vegetables and flowers, carefully cultivating their plants in what was then a small market garden. Over the years, as Flourish has grown. Calixta and her team have worked diligently to improve the soil and biodiversity of the little piece of land they call home. They strive to make it as beautiful and abundant as possible, using ecological farming practices to grow delicious and nutritious produce. Our mission is to build a farm that is biodiverse, resilient and productive. ",
Gilbert E & Son,"Queenholme Farm/Sponge Drove, Cambridge ",CB24 5JN,,,,Y,,,,,,,,,,,,,,,,,,
Heath Fruit Farm,"The Heath, Heath Fruit Farm, Bluntisham, Huntingdon ",PE28 3LQ,https://www.heathfruitfarm.co.uk/,https://lirp.cdn-website.com/505c3eaf/dms3rep/multi/opt/IMG_20210129_065441_629-476w.jpg,,,,,,Y,,,,,,,,,,,,,"Heath Fruit Farm has existed for over 100 years, growing a range of orchard fruits. The late owner, E J Wallis expanded the range with apricots and latterly cherries. The current owner, Robert Bousfield, continues this legacy of expert and professional fruit growing.",
Higham Ferrers Farmers Market,"Market Square, Higham Ferrers, Rushden ",NN10 8BP,https://www.highamferrers-tc.gov.uk/markets,https://www.highamferrers-tc.gov.uk/images/27_5c5c09cf681fd095068512/large.jpg,,,,,,,,,,Y,,,,,,,,,"Higham Ferrers Farmers Market is held in the beautiful historic Market Square between 9am and 1pm on the last Saturday of each month except in December when it is moved to the last available Saturday before Christmas. Our Farmers Market is a very successful monthly market with lots of stalls each offering something different. A wonderful range of produce available including; pies, organic eggs and free range poultry, organic pork and lamb, crayfish fishcakes, pickles, chilli sauces, bread, cheese, fruit and vegetables, pies, honey, preserves, plants, and a great variety of cakes and traybakes.",
Hill Farm PYO and Farm Shop,"Oundle Rd, Chesterton, Peterborough ",PE7 3UA,https://www.hillfarmpyo.co.uk/,https://amazon.clikpic.com/hillfarm/images/Hill_farm_pyo_logo.jpg,,,,,,,,,Y,,,Y,,,,,,,"Hill Farm is a family run business open from June-October offering ‘pick-your-own’ (PYO) and ‘ready picked’ soft fruit and vegetables – ideal for freezing, jam and wine making, or just eating fresh. Set in attractive rural surroundings, on a hill overlooking Peterborough, the Farm also offers light refreshments and a playground.",
Holbeach Indoor Farmers Market,"Holbeach Hub Sports Hall, Boston Rd S, Holbeach ",PE12 7LR,https://www.facebook.com/holbeachindoorfarmersmarket,,,,,,,,,,,Y,,,,,,,,,"Indoor Farmers Market, Holbeach Hub Sports Hall (Boston Rd, Holbeach, PE12 7LR) 1st Sunday each month",
Home Farm,"Harston, Cambridge ",CB22 7PZ,,,,Y,,,,,,,,,,,,,,,,,,
Huntingdon farm,Cambridge ,CB22 1AA,,,,Y,,,,,,,,,,,,,,,,,,
Huntingdon Market Square,Huntingdon ,PE29 3NR,https://www.marketsquaregroup.co.uk/,https://www.marketsquaregroup.co.uk/img/msglogo.png,,,,,,,,,,Y,,,,,,,,,"Market Square Group was formed in 2008, dedicated to delivering street markets with a festival feel. Since then, we have diversified to develop a range of events for all seasons, promoting them to the public through our marketing brand ZOOM EVENTS - www.zoomevents.co.uk Whilst we continue to deliver markets to towns and cities, our Spring, Summer and Autumn schedule focuses on green space festivals where food, drink, crafts, clothing and accessories come together at venues close to urban centres. These family friendly events are held in spaces familiar to, and cherished by, the local community.",
Lark Rise Farm,"Wimpole Rd, Barton, Cambridge",CB23 7AB,https://www.thecrt.co.uk/lark-rise,https://www.thecrt.co.uk/fresco/clients/countrysiderestorationtrustr/assets/logo-inverse.svg,,Y,,,,,,,,,,,,,,,,,"The 400 acres that makes up Lark Rise Farm all began with the purchase of one small field thanks to donations following an article in The Telegraph in 1993 by CRT founder Robin Page. It has grown considerably over the years and has been given a Redlist Revival Award for  'Highest Density of Grey Partridge’. In addition, we have many other Redlist species of conservation concern including song thrush, yellowhammer, linnet and – as the farm's name would suggest – an abundance of skylarks.",https://www.nffn.org.uk/rethink-farming-tim-scott/
Long Meadow Beef,"100 Main St, Little Downham, Ely ",CB6 2SX,https://www.longmeadowbeef.com/,https://static.wixstatic.com/media/ffafe1_96a8dac5c72e496da4855c2099574ac0~mv2.jpg,,,Y,,,,,,,,,,,,,,Y,,"Our small herd of Aberdeen Angus & Hereford cattle thrive on their grass fed diet. They spend most of the year grazing the fields around the Little Downham area. Over the winter months they come in to airy straw bedded barns to eat our hay and haylage. To maximise the health and happiness of our cattle we know they need to be getting a rich natural diet. The variety of plant species our cattle get to munch on is super for them, healthier for you and creates a thriving habitat for wildlife.",
Margent Farm,"Margent Farm, Oldhurst Rd, Pidley, Huntingdon ",PE28 3FB,https://www.margentfarm.com/,https://images.squarespace-cdn.com/content/v1/5e7204af1c3475792fe716d5/1673361275221-4LEJ4XCAT2T5QTE71MGP/DSC02364.jpg,,Y,,,,,,,,,,,,Y,Y,,,,"Margent is a hemp farm located in Cambridgeshire England.  Our name comes from the margin surrounding our 50 acres of arable fields which acts as a protection zone and natural habitat for wildlife. We are committed to nurturing the topsoil, air and water by practicing organic and regenerative farming methods. ",
MyFarm,"Home Farm, Wimpole Estate, Arrington ",SG8 0BW,https://www.nationaltrust.org.uk/discover/food,,,,,,,,,,,,,,,,,,,Y,,
New Farm,"1925 Cow Ln, Cambridge ",CB24 8QQ,,,,Y,,,,,,,,,,,,,,,,,,
Organic Arable,"New Gant Farm, Cambridge ",CB25 0LQ,http://www.organicarable.co.uk/,https://www.organicarable.co.uk/web/image/website/1/logo/Organic%20Arable,,Y,,,,,,,,,,,,,Y,,,,"For 23 years we have been marketing organic grain, supplying seed and providing marketing advice and technical support for our farmers.  We are the only specialist organic grain business in the UK, remain owned by farmers and will always to do the best we can for our farmers, providing the best possible grain marketing opportunities and where possible providing long-term relationships.  We have both technical and market knowledge and use this and our experience of the organic market to provide advice to farmers.",
Organic Health Cambridge,"87 Church Rd, Hauxton, Cambridge ",CB22 5HS,,,,Y,,,,,,,,,,,,,Y,,,,,
Organic Livestock Co Op,"Melbourn St, Royston ",SG8 7BX,,,,Y,,,,,,,,,,,,,Y,Y,,,,
Organic Orchards,"Little Bowsers Farm, Bowsers Ln, Saffron Walden ",CB10 1XQ,,,,Y,,,,,,,,,,,,,Y,,,,,
Over Village Market,"Willingham Road, Over ",CB24 5PD,http://overvillagemarket.co.uk/,"https://static.wixstatic.com/media/aa78bc_1b71e0058e0b43d39bf34e9524949805~mv2.png/v1/fill/w_536,h_250,al_c,lg_1,q_85,enc_auto/aa78bc_1b71e0058e0b43d39bf34e9524949805~mv2.png",,,,,,,,,,Y,,,,,,,,,"With up to 20 local artisan food and craft stalls, the markets take place around every eight weeks on this Cambridgeshire village green. Stallholders include a local bakery, award-winning preserves, fruit & vegetables, handmade cards, award-winning Biltong, artists, cheese, ceramics, meat, cakes, hot food and a lovely vintage tea caravan.",
Quy Farms Ltd,"Allicky Farm, Station Road, Stow-cum-quy, Cambridge ",CB25 9AJ,,,,Y,,,,,,,,,,,,,,,,,,
R B Organic Ltd,"Stanley Farm, Great Drove, Yaxley, Peterborough ",PE7 3TW,https://rborganic.co.uk/,https://rborganic.co.uk/wp-content/uploads/2017/08/carrots_3.jpg,,,,,,,,Y,,,,,,,Y,,,,"RBOrganic Ltd was formed in 2005 when John Taylor decided to step away from managing someone else’s Organic vegetable business to start his own, this was done in partnership with his friends and business partners the Burgess family. RBOrganic Ltd has now been growing and specialising in Organic vegetables ever since. Currently grown and produced on farm are root crops including Carrots, Onions, Beetroot and Potatoes. RBOrganic Ltd is now a fully owned subsidiary of the Produce World group and run by Joe Rolfe. RBOrganic Ltd is a flagship Organic vegetable growing business providing innovation and quality for all its customers.",
Ranswood Farm,"18 The Common, West Wratting, Cambridge ",CB21 5LR,,,,Y,,,,,,,,,,,,,,,,,,
Riverdale Organic Farm,"Pius Drove, Upwell, Wisbech ",PE14 9AL,http://www.riverdaleorganicfarm.co.uk/,,,,,,,Y,,Y,,,,,,,Y,,,,"Riverdale Farm is a small, family run organic fruit and vegetable farm in the heart of the Norfolk fenland. We believe that farmers should work with nature, not against it, to produce the freshest, most delicious local produce possible. For us this means never using nasty chemicals or artificialities, relying on nature’s own remedies and rhythms to grow healthy, full flavoured fruit and vegetablee problems with the auto-positioning algorithm",INSPIRE:51249504
Ron's Farm Shop,"2 Honey Hill, Fenstanton, Huntingdon ",PE28 9JP,https://www.facebook.com/ronsfarmshop/,,,,,,,,,,Y,,,,,,,,,,"We sell high quality vegetables, fruit, soft fruit, honey, eggs, plants and flowers, some home-grown",
Rosegate Farm & Butchery,"36 Rose and Crown Rd, Swavesey, Cambridge ",CB24 4RB,https://www.rosegatefarm.co.uk/,,,,Y,,,Y,,,,,,,,,,,,,,
Russell Smith Farms,"College Farm, Grange Rd, Duxford, Cambridge ",CB22 4QF,https://www.russellsmithfarms.co.uk/,https://www.russellsmithfarms.co.uk/wp-content/uploads/2015/08/russell-smith-logo.jpg,,Y,,,,,Y,Y,,,,,,,,,,,"Here at Russell Smith Farms, we strive to get the most out of our land whilst caring for the environment in which it lies. We are always looking for new ideas to grow our crops more efficiently, and grow our business more dynamically.
",
Sacrewell organic farm,"Sacrewell, Thornhaugh, Peterborough ",PE8 6HJ,https://www.sacrewell.org.uk/,https://www.sacrewell.org.uk/site/wp-content/uploads/2023/07/Events-1024x767.jpg,Y,,,,,,,,,,,,,,Y,,,Y,"Explore food, farming and the beautiful Cambridgeshire countryside on a visit to Sacrewell Heritage Farm and Country Centre. We have plenty to keep you entertained, with animals to meet, outdoor spaces to discover, a recently restored 18th century watermill and a large indoor soft play centre. As part of The William Scott Abbott Trust, we’d like to invite you to take a breath of fresh air in our favourite place.",
Sarah's Farm Shop,"Greenslade Farm, Ashwell Rd, Steeple Morden, Royston ",SG8 0PB,https://www.facebook.com/SarahsFarmShop/,,,,,,,,,,Y,Y,,,,,,,,,"We offer a great range of Fruit and Vegetables, freshly baked bread, Jams, Chutneys and pickles ever",
Scotts Farm Shop,"25 Sutton Rd, Witchford, Ely ",CB6 2HX,http://www.scottsfarmshop.com/,,,,,,,,,,Y,,,,,,,,,,"Scott Brothers is a family owned business based near Ely, Cambridgeshire. We sell as much local seasonal produce as possible and our extensive range is ever growing..",
St. Ives Farmers' Market,"Sheep Market, Town Centre, St Ives, Cambridgeshire
",PE27 5AH,https://www.facebook.com/stivesfarmersmarket/,,,,,,,,,,,Y,,,,,,,,,Fresh local Cornish produce - every Thursday throughout the year.,
St. Neots Farmers' Market,"Market Square, St Neots Cambridgeshire",PE19 2AF,https://www.stneots-tc.gov.uk/about-the-town/farmers-market/?referrer=findlocalproduce.co.uk,https://www.stneots-tc.gov.uk/wp-content/uploads/2021/01/Farm-Craft-Market-Logo_Landscape_Lime-300x117.png,,,,,,,,,,Y,,,,,,,,,"Our Farm and Craft Market is well established and has been in operation since 2002. The Market is accredited by the Farm Retail Association, which recognises and supports local producers. The wide range of products sold at the market include locally reared meat, poultry and game; salad and vegetables, baked bread and cakes (including speciality vegan bakes), award-winning fudge, chutneys, pickles and preserves, plants and flowers, handmade soaps, cards, textiles and wooden crafts. Hot breakfast and lunch snacks are also available.",
Sweetpea Market Garden,"Sweetpea Market Garden Pastures Farm, Caxton, Cambridge ",CB23 3PF,https://sweetpeamarketgarden.co.uk/,https://sweetpeamarketgarden.co.uk/wp-content/uploads/2022/05/cropped-website-test6-scaled-1-1536x921.jpg,,,,,,,,,,Y,,,,,,,,,"Sweetpea Market Garden is a small-scale vegetable farm producing salads, microgreens, edible flowers and a number of other vegetables. We chose the best tasting and most unusual varieties making our produce very different to what you find in the supermarket. Sweetpea is based on 4 acres of land that we rent from Manor Farm in Caxton, Cambridgeshire. It is a mixed arable farm that has been on a journey to introduce more regenerative farming practices over the last 6 years. ",
The Co-Operative Farms,"Coldham Hall, Coldham, Friday Bridge, Wisbech ",PE14 0LX,https://www.coop.co.uk/our-suppliers/farmers/growers,https://images.ctfassets.net/bffxiku554r1/5WjlK8peFgXTiqQl5Nkht3/066eb9ab0efead664727825ec981c8c9/FarmingFisheries-Header.png,,,,,,Y,,Y,,,,,,,,Y,,,We’re committed to doing more to give British products pride of place on our shelves from the moment they are ripe for picking.,
The Gog Farm Shop,"Shelford Bottom, Heath Farm, Babraham Rd, Stapleford, Cambridge ",CB22 3AD,https://www.thegog.com/,https://www.thegog.com/wp-content/uploads/2021/09/The-gog.svg,,,,,,,,,Y,Y,,,,,,,,,"Welcome to The Gog: a big-hearted, multi-award winning, down to earth farm shop in the Gog Magog Hills just south of the University town of Cambridge. We’re a thriving, exciting place to shop and a slice of food-lovers heaven, staffed by enthusiasts and committed to bringing its wonderful customers the best possible produce from the local area, from around the UK and beyond. We’re incredibly proud to be partnering many of the country’s finest food producers and suppliers from Neal’s Yard Dairy cheese to KellyBronze Turkeys. On our journey, The Gog has featured on the BBC’s ‘MasterChef’, ‘Taste of Britain’, ‘The Great British Menu’ and even ‘The Apprentice’.",
The Prior's Flour @ Fosters Mill,"Mill Hill, Swaffham Prior, Cambridge ",CB25 0JZ,https://www.priorsflour.co.uk/,https://www.priorsflour.co.uk/wp-content/uploads/2015/06/fm_hero.jpg,,,,,,,Y,,,,,,,,,,,,"The Prior’s Flour comprises a delicious range of stoneground organic flours milled, where possible, by wind power at Fosters Mill, Swaffham Prior. Sourcing local, premium quality organic grain, master miller, Jonathan Cook crafts a range of artisan flours for the discerning professional and amateur baker. The flours are milled using horizontal French burr stones which preserve the natural nutrition and vitamin content of the grain. The flours are sold from the mill, by mail order and through a number of outlets in the Cambridgeshire area.",
The Prospects Trust,"Snakehall Farm, Swaffham Rd, Reach ",CB25 0HZ,https://prospectstrust.org.uk/,https://prospectstrust.org.uk/wp-content/themes/prospectstrust/images/logo-transparent5.png,Y,,,,,,,,,,,,,,,,,Y,"We are a meaningful work, skills and training provider for people with additional needs, learning disabilities or autism - our Co-workers! Our supported real work placements for Co-workers are offered on our 18 acre organic care farm in rural Cambridgeshire, in our Refill Greengrocery Cafe in the heart of Ely; The Prospects Trust Unwrapped and out and about on our Garden Team. Our Co-worker placements are open to people with additional needs. Snakehall Farm is a real farm providing real work experience producing sustainable, seasonal organic products and produce., our farm gates are open to new opportunities. As a socially inspiring enterprise we grow differently, retail differently and provide care placements differently since 1989.",
Toms Fresh Fruit & Veg and Farm Produce,"39 Back Rd, Linton, Cambridge ",CB21 4LG,,,,Y,,,,Y,,Y,,,,,,,,,,,,
Trumpington Farm Co,"Trumpington, Cambridge ",CB2 9LG,https://www.trumpingtonestate.com/,https://images.squarespace-cdn.com/content/v1/5e4c5021dc6bd104172b4bf1/1582395996825-B59MTQVJO55WBYRMZRQ1/Logo+Option+1+PNG.png?format=1500w,,Y,,,,,Y,,,,,,,,,,,,"Since Sir Francis Pemberton bought the 1,000 acre estate in 1675, the Pemberton family have been in the driving seat at Trumpington Estate. The Estate has gone through many changes over the years, however the family remain constant custodians with the main aim to enhance the landscape while securing it for future generations. Through our grassland management programme we are current custodians to a multitude of open spaces in the local countryside. There are over 12 kilometres of public access routes that meander through estate, ensuring that everyone in the local area can enjoy the wildlife and space around them. ",
Unwins Farms Ltd,"3 Cottenham Rd, Histon, Cambridge ",CB24 9ES,,,,Y,,,,,,,,,,,,,,,,,,
Upper Heath Farm,"Upper heath farm, 5aw, Mill Rd, Great Wilbraham",,,,,,,,,,,,,,,,,,,,,,,
Vicarage Farm,"Swaffham Prior, Cambridge ",CB25 0LA,,,,Y,,,,,,,,,,,,,,,,,,
VS FARMING LTD,"Unit C, The Paddocks, 347 Cherry Hinton Rd, Cambridge ",CB1 8DH,,,,Y,,,,,,,,,,,,,,,,,,
W E Creek & Son Farms Ltd,"Cottenham, Cambridge ",CB24 8RL,,,,Y,,,,,,,,,,,,,,,,,,
Waterbeach Community Market,"Old Barracks, Waterbeach, Cambridge ",CB25 9PA,https://www.facebook.com/waterbeachcommunitymkt,,,,,,,,,,,Y,,,,,,,,,"Monthly Farmers market showcasing local produce & business. Free parking, easy access ,dogs welcome",
Waterland Organics,"Willow Farm, Lode Rd, Lode, Cambridge ",CB25 9HF,,,,Y,,,,,,,,,,,,,Y,,,,,
Whitegates Farm,"Whitegates Farm, Upwell Rd, March ",PE15 0DP,,,,Y,,,,,,,,,,,,,,,,,,
Wiggin Hill Farm,"Unnamed Road, St. Ives ",PE27 3DQ,,,,Y,,,,,,,,,,,,,,,,,,
Wild Country Organics,"11 Chalky Rd, Abington, Cambridge ",CB21 6AT,,,,Y,,,,,,,,,,,,,Y,,,,,
Woodfarm Freerange Eggs,"Wood Farm, Vicarage Road, Waresley, Sandy ",SG19 3DA,,,,,,Y,,,,,,,,,,,,,,,,