Name,Wikipedia,Logo
Agroecology,https://en.wikipedia.org/wiki/Agroecology,organic
Agroforestry,https://en.wikipedia.org/wiki/Agroforestry,forest
Alternative food network,,healthy-food
Alternative proteins,https://en.wikipedia.org/wiki/Meat_alternative,grasshopper
Animal integration,,cow
Animal manures,https://en.wikipedia.org/wiki/Manure,cow
Annual cropping / crop rotations,https://en.wikipedia.org/wiki/Crop_rotation,wheat
Aquaculture,https://en.wikipedia.org/wiki/Aquaculture,underwater
Biochar/terra preta,https://en.wikipedia.org/wiki/Biochar,fertility
Co-operative,https://en.wikipedia.org/wiki/Cooperative,people
Compost,https://en.wikipedia.org/wiki/Compost,fertilizer
Conservation farming,https://en.wikipedia.org/wiki/Conservation_farming,organic
Cover crops / multi-species cover crops,https://en.wikipedia.org/wiki/Cover_crop,growing-plant
Creating wetlands,https://en.wikipedia.org/wiki/Wetland,pond
Ecological aquaculture,,underwater
Education,,teaching
Grass-fed cattle,https://en.wikipedia.org/wiki/Cattle_feeding,cow
Holistically managed grazing,https://en.wikipedia.org/wiki/Holistic_management_(agriculture),cow
Inter-crop plantings,https://en.wikipedia.org/wiki/Intercropping,growing-plant
Keyline subsoiling,https://en.wikipedia.org/wiki/Keyline_design,fertility
Minimum tillage,https://en.wikipedia.org/wiki/Minimum_tillage,tractor
Natural sequence farming,https://en.wikipedia.org/wiki/Natural_Sequence_Farming,tractor
No-till farming,https://en.wikipedia.org/wiki/No-till_farming,tractor
Organic farming,https://en.wikipedia.org/wiki/Organic_farming,organic
Pasture cropping,,nature-park
Perennial crops,https://en.wikipedia.org/wiki/Perennial_crop,crop
Permaculture design,https://en.wikipedia.org/wiki/Permaculture,organic
Pollinator borders,https://en.wikipedia.org/wiki/Beneficial_insect,butterfly
Polyculture,https://en.wikipedia.org/wiki/Polyculture,growing-plant
Ponding / grading banks,https://en.wikipedia.org/wiki/Ponding_bank,pond
Precision fermenting ,,brewery
Red Tractor,,accreditation
Regenerative agriculture,https://en.wikipedia.org/wiki/Regenerative_agriculture,organic
Regenerative ocean farming,,underwater
Renewables,,renewables
Rewilding,https://en.wikipedia.org/wiki/Rewilding_(conservation_biology),biodiversity
Silvopasture,https://en.wikipedia.org/wiki/Silvopasture,nature-park
Soil food web,https://en.wikipedia.org/wiki/Soil_food_web,fertility
Succession planting,https://en.wikipedia.org/wiki/Succession_planting,growing-plant
Thermal compost,,fertilizer
Using biostimulants,,fertility
Volunteering,,people
Well-managed grazing,,cow